Well,Sample.Name,Target.Name,conc
A1,1:1,L.ayr_NOAA,0.997333333
A2,1:1,L.ayr_NOAA,0.997333333
A3,1:1,L.ayr_NOAA,0.997333333
A4,1:1,L.ayr_2,1.076666667
A5,1:1,L.ayr_2,1.076666667
A6,1:1,L.ayr_2,1.076666667
A7,1:1,L.ayrSk5-27,1.006333333
A8,1:1,L.ayrSk5-27,1.006333333
A9,1:1,L.ayrSk5-27,1.006333333
A10,1:1000000,L.ayr_NOAA,9.97333E-07
A11,1:1000000,L.ayr_NOAA,9.97333E-07
A12,1:1000000,L.ayr_NOAA,9.97333E-07
B1,1:10,L.ayr_NOAA,0.099733333
B2,1:10,L.ayr_NOAA,0.099733333
B3,1:10,L.ayr_NOAA,0.099733333
B4,1:10,L.ayr_2,0.107666667
B5,1:10,L.ayr_2,0.107666667
B6,1:10,L.ayr_2,0.107666667
B7,1:10,L.ayrSk5-27,0.100633333
B8,1:10,L.ayrSk5-27,0.100633333
B9,1:10,L.ayrSk5-27,0.100633333
B10,1:1000000,L.ayr_2,1.07667E-06
B11,1:1000000,L.ayr_2,1.07667E-06
B12,1:1000000,L.ayr_2,1.07667E-06
C1,1:100,L.ayr_NOAA,0.009973333
C2,1:100,L.ayr_NOAA,0.009973333
C3,1:100,L.ayr_NOAA,0.009973333
C4,1:100,L.ayr_2,0.010766667
C5,1:100,L.ayr_2,0.010766667
C6,1:100,L.ayr_2,0.010766667
C7,1:100,L.ayrSk5-27,0.010063333
C8,1:100,L.ayrSk5-27,0.010063333
C9,1:100,L.ayrSk5-27,0.010063333
C10,1:1000000,L.ayrSk5-27,1.00633E-06
C11,1:1000000,L.ayrSk5-27,1.00633E-06
C12,1:1000000,L.ayrSk5-27,1.00633E-06
D1,1:1000,L.ayr_NOAA,0.000997333
D2,1:1000,L.ayr_NOAA,0.000997333
D3,1:1000,L.ayr_NOAA,0.000997333
D4,1:1000,L.ayr_2,0.001076667
D5,1:1000,L.ayr_2,0.001076667
D6,1:1000,L.ayr_2,0.001076667
D7,1:1000,L.ayrSk5-27,0.001006333
D8,1:1000,L.ayrSk5-27,0.001006333
D9,1:1000,L.ayrSk5-27,0.001006333
D10,,,
D11,,,
D12,,,
E1,1:10000,L.ayr_NOAA,9.97333E-05
E2,1:10000,L.ayr_NOAA,9.97333E-05
E3,1:10000,L.ayr_NOAA,9.97333E-05
E4,1:10000,L.ayr_2,0.000107667
E5,1:10000,L.ayr_2,0.000107667
E6,1:10000,L.ayr_2,0.000107667
E7,1:10000,L.ayrSk5-27,0.000100633
E8,1:10000,L.ayrSk5-27,0.000100633
E9,1:10000,L.ayrSk5-27,0.000100633
E10,,,
E11,,,
E12,,,
F1,1:50000,L.ayr_NOAA,1.99467E-05
F2,1:50000,L.ayr_NOAA,1.99467E-05
F3,1:50000,L.ayr_NOAA,1.99467E-05
F4,1:50000,L.ayr_2,2.15333E-05
F5,1:50000,L.ayr_2,2.15333E-05
F6,1:50000,L.ayr_2,2.15333E-05
F7,1:50000,L.ayrSk5-27,2.01267E-05
F8,1:50000,L.ayrSk5-27,2.01267E-05
F9,1:50000,L.ayrSk5-27,2.01267E-05
F10,,,
F11,,,
F12,NTC,,
G1,1:100000,L.ayr_NOAA,9.97333E-06
G2,1:100000,L.ayr_NOAA,9.97333E-06
G3,1:100000,L.ayr_NOAA,9.97333E-06
G4,1:100000,L.ayr_2,1.07667E-05
G5,1:100000,L.ayr_2,1.07667E-05
G6,1:100000,L.ayr_2,1.07667E-05
G7,1:100000,L.ayrSk5-27,1.00633E-05
G8,1:100000,L.ayrSk5-27,1.00633E-05
G9,1:100000,L.ayrSk5-27,1.00633E-05
G10,,,
G11,,,
G12,NTC,,
H1,1:500000,L.ayr_NOAA,1.99467E-06
H2,1:500000,L.ayr_NOAA,1.99467E-06
H3,1:500000,L.ayr_NOAA,1.99467E-06
H4,1:500000,L.ayr_2,2.15333E-06
H5,1:500000,L.ayr_2,2.15333E-06
H6,1:500000,L.ayr_2,2.15333E-06
H7,1:500000,L.ayrSk5-27,2.01267E-06
H8,1:500000,L.ayrSk5-27,2.01267E-06
H9,1:500000,L.ayrSk5-27,2.01267E-06
H10,,,
H11,,,
H12,NTC,,
