Sample.Name,Target.Name,copies.ul
std_1,Etri_crRNA_1,518855520
std_2,Etri_crRNA_1,51885552
std_3,Etri_crRNA_1,5188555.2
std_4,Etri_crRNA_1,518855.52
std_5,Etri_crRNA_1,51885.55
std_6,Etri_crRNA_1,5188.56
std_7,Etri_crRNA_1,518.86
std_8,Etri_crRNA_1,51.89
std_9,Etri_crRNA_1,5.19
NTC,Etri_crRNA_1,0
std_1,S.con_crRNA_1,391430000
std_2,S.con_crRNA_1,39143000
std_3,S.con_crRNA_1,3914300
std_4,S.con_crRNA_1,391430
std_5,S.con_crRNA_1,39143
std_6,S.con_crRNA_1,3914.3
std_7,S.con_crRNA_1,391.43
std_8,S.con_crRNA_1,39.14
std_9,S.con_crRNA_1,3.91
NTC,S.con_crRNA_1,0
std_1,L.ayr_crRNA_1,535958000
std_2,L.ayr_crRNA_1,53595800
std_3,L.ayr_crRNA_1,5359580
std_4,L.ayr_crRNA_1,535958
std_5,L.ayr_crRNA_1,53595.8
std_6,L.ayr_crRNA_1,5359.58
std_7,L.ayr_crRNA_1,535.96
std_8,L.ayr_crRNA_1,53.6
std_9,L.ayr_crRNA_1,5.36
NTC,L.ayr_crRNA_1,0
