Well,Sample Name,Target Name,conc
A1,1:1,Rs-16,1.133
A2,1:1,Rs-16,1.133
A3,1:1,Rs-16,1.133
A4,1:1,Rs-st1,3.7
A5,1:1,Rs-st1,3.7
A6,1:1,Rs-st1,3.7
A7,1:1,Reni-st2,1.2966
A8,1:1,Reni-st2,1.2966
A9,1:1,Reni-st2,1.2966
A10,1:500000,Reni-st2,0.0000074
A11,1:500000,Rs-st1,0.0000026
A12,,,
B1,1:10,Rs-16,0.133
B2,1:10,Rs-16,0.133
B3,1:10,Rs-16,0.133
B4,1:10,Rs-st1,0.37
B5,1:10,Rs-st1,0.37
B6,1:10,Rs-st1,0.37
B7,1:10,Reni-st2,0.12966
B8,1:10,Reni-st2,0.12966
B9,1:10,Reni-st2,0.12966
B10,1:500000,Reni-st2,0.0000074
B11,1:500000,Rs-st1,0.0000026
B12,,,
C1,1:100,Rs-16,0.0133
C2,1:100,Rs-16,0.0133
C3,1:100,Rs-16,0.0133
C4,1:100,Rs-st1,0.037
C5,1:100,Rs-st1,0.037
C6,1:100,Rs-st1,0.037
C7,1:100,Reni-st2,0.012966
C8,1:100,Reni-st2,0.012966
C9,1:100,Reni-st2,0.012966
C10,1:500000,Reni-st2,0.0000074
C11,1:500000,Rs-st1,0.0000026
C12,,,
D1,1:1000,Rs-16,0.00133
D2,1:1000,Rs-16,0.00133
D3,1:1000,Rs-16,0.00133
D4,1:1000,Rs-st1,0.0037
D5,1:1000,Rs-st1,0.0037
D6,1:1000,Rs-st1,0.0037
D7,1:1000,Reni-st2,0.0012966
D8,1:1000,Reni-st2,0.0012966
D9,1:1000,Reni-st2,0.0012966
D10,,,
D11,,,
D12,,,
E1,1:5000,Rs-16,0.00027
E2,1:5000,Rs-16,0.00027
E3,1:5000,Rs-16,0.00027
E4,1:5000,Rs-st1,0.00074
E5,1:5000,Rs-st1,0.00074
E6,1:5000,Rs-st1,0.00074
E7,1:5000,Reni-st2,0.00026
E8,1:5000,Reni-st2,0.00026
E9,1:5000,Reni-st2,0.00026
E10,,,
E11,,,
E12,,,
F1,1:10000,Rs-16,0.000133
F2,1:10000,Rs-16,0.000133
F3,1:10000,Rs-16,0.000133
F4,1:10000,Rs-st1,0.00037
F5,1:10000,Rs-st1,0.00037
F6,1:10000,Rs-st1,0.00037
F7,1:10000,Reni-st2,0.00012966
F8,1:10000,Reni-st2,0.00012966
F9,1:10000,Reni-st2,0.00012966
F10,1:500000,Rs-16,0.0000027
F11,,,
F12,,NTC,0
G1,1:50000,Rs-16,0.000027
G2,1:50000,Rs-16,0.000027
G3,1:50000,Rs-16,0.000027
G4,1:50000,Rs-st1,0.000074
G5,1:50000,Rs-st1,0.000074
G6,1:50000,Rs-st1,0.000074
G7,1:50000,Reni-st2,0.000026
G8,1:50000,Reni-st2,0.000026
G9,1:50000,Reni-st2,0.000026
G10,1:500000,Rs-16,0.0000027
G11,,,
G12,,NTC,0
H1,1:100000,Rs-16,0.0000133
H2,1:100000,Rs-16,0.0000133
H3,1:100000,Rs-16,0.0000133
H4,1:100000,Rs-st1,0.000037
H5,1:100000,Rs-st1,0.000037
H6,1:100000,Rs-st1,0.000037
H7,1:100000,Reni-st2,0.00001297
H8,1:100000,Reni-st2,0.00001297
H9,1:100000,Reni-st2,0.00001297
H10,1:500000,Rs-16,0.0000027
H11,,,
H12,,NTC,0
