Well,Sample Name,isolate_no
A1,A.salmonicida,1
A2,C.malta,3
A3,K.varians,6
A4,V.ordalii,9
A5,R.bac-Will,11
A6,R.bac-MO4-k21,16
A7,R.bac-33209-1,17
A8,R.bac-33209-3,19
A9,,
A10,,
A11,,
A12,,
B1,A.salmonicida,1
B2,F.johnsinae,4
B3,K.varians,6
B4,V.ordalii,9
B5,R.bac-CHLM92-026-1,12
B6,R.bac-MO4-k21,14
B7,R.bac-33209-1,17
B8,NTC,
B9,,
B10,,
B11,,
B12,,
C1,A.salmonicida,1
C2,F.johnsinae,4
C3,L.aquatica,7
C4,V.ordalii,9
C5,R.bac-CHLM92-026-1,12
C6,R.bac-M05-33K,15
C7,R.bac-33209-1,17
C8,NTC,
C9,,
C10,,
C11,,
C12,,
D1,A.globiformis,2
D2,F.johnsinae,4
D3,L.aquatica,7
D4,Y.ruckeri,10
D5,,
D6,R.bac-M05-33K,15
D7,R.bac-33209-2,18
D8,NTC,
D9,,
D10,,
D11,,
D12,,
E1,A.globiformis,2
E2,F.psychrophilum,5
E3,L.aquatica,7
E4,Y.ruckeri,10
E5,R.bac-CHLM92-026-2,13
E6,R.bac-M05-33K,15
E7,R.bac-33209-2,18
E8,,
E9,,
E10,,
E11,,
E12,,
F1,A.globiformis,2
F2,F.psychrophilum,5
F3,M.luteus,8
F4,Y.ruckeri,10
F5,R.bac-CHLM92-026-2,13
F6,R.bac-M05-51046-90v,16
F7,R.bac-33209-2,18
F8,R.bac-CHLM92-026-1,12
F9,,
F10,,
F11,,
F12,,
G1,C.malta,3
G2,F.psychrophilum,5
G3,M.luteus,8
G4,R.bac-Will,11
G5,R.bac-CHLM92-026-2,13
G6,R.bac-M05-51046-90v,16
G7,R.bac-33209-3,19
G8,,
G9,,
G10,,
G11,,
G12,,
H1,C.malta,3
H2,K.varians,6
H3,M.luteus,8
H4,R.bac-Will,11
H5,R.bac-MO4-k21,14
H6,R.bac-M05-51046-90v,16
H7,R.bac-33209-3,19
H8,,
H9,,
H10,,
H11,,
H12,,
