"Well","sample","FAMfinal","detect"
"A1","4LX",635746174.899928,"Yes"
"A2","4LX",701355442.536722,"Yes"
"A3","4LX",737592254.013751,"Yes"
"A4","5DX",-27490486.9162833,"No"
"A5","5DX",-24368919.5776179,"No"
"A6","5DX",-27454408.6041844,"No"
"A7","9B24",-22230447.2693425,"No"
"A8","Rs_17",905663320.09098,"Yes"
"B1","4P",726968471.306708,"Yes"
"B2","4P",505646425.720166,"Yes"
"B3","4P",746124315.00546,"Yes"
"B4","7D2",211891069.950554,"Yes"
"B5","7D2",294280826.175554,"Yes"
"B6","7D2",131138741.155923,"Yes"
"B7","9B24",-32321270.2094082,"No"
"B8","NTC",-32020119.4663566,"No"
"C1","3.8LX",806724792.490133,"Yes"
"C2","3.8LX",607119712.844091,"Yes"
"C3","3.8LX",636865469.119956,"Yes"
"C4","7D10",-29781531.6939838,"No"
"C5","7D10",-29877447.5077675,"No"
"C6","7D10",-41067842.1175914,"No"
"C7","9B24",-36243978.0667111,"No"
"C8","NTC",-34421979.9855103,"No"
"D1","3.25LX",800081461.276927,"Yes"
"D2","3.25LX",664710629.116081,"Yes"
"D3","3.25LX",715759848.832364,"Yes"
"D4","8D4",-32824155.337386,"No"
"D5","8D4",-24469078.0118923,"No"
"D6","8D4",-40730382.3104572,"No"
"D7","10D10",-31678325.7634268,"No"
"D8","NTC",-31943638.5126912,"No"
"E1","9C42",194877787.789496,"Yes"
"E2","9C43",253517460.485493,"Yes"
"E3","9C44",-28526272.4814522,"No"
"E4","4B34",-34477422.9092882,"No"
"E5","4B34",-33926682.1514413,"No"
"E6","4B34",-30651185.0344956,"No"
"E7","10D10",-35971940.1189905,"No"
"F1","4BX",-26591909.9279519,"No"
"F2","4BX",58770756.3187117,"Yes"
"F3","4BX",-20912877.6418712,"No"
"F4","5BX",-31984519.8959714,"No"
"F5","5BX",-32033297.9647568,"No"
"F6","5BX",-31256117.9736591,"No"
"F7","10D10",-33979505.4400401,"No"
"G1","4DX",797335698.385377,"Yes"
"G2","4DX",506734763.132302,"Yes"
"G3","4DX",521971351.834245,"Yes"
"G4","7B21",85206793.73658,"Yes"
"G5","7B21",-24183018.4370877,"No"
"G6","7B21",-37721505.6309624,"No"
"G7","Rs_17",779695810.932267,"Yes"
"H1","4B21",415372412.598034,"Yes"
"H2","4B22",323995032.624298,"Yes"
"H3","4B23",560285188.897035,"Yes"
"H4","8BX",-29065352.1512407,"No"
"H5","8BX",-32820939.9096603,"No"
"H6","8BX",-30268122.9226838,"No"
"H7","Rs_17",891053611.266592,"Yes"
"A1","AI3.8",-31614759.6244444,"No"
"A2","AI4.12",-15962427.572864,"No"
"A3","AI7.14",-33117456.9736836,"No"
"A4","AI10.19",-35578193.5220759,"No"
"A5","5P.",455136054.491528,"Yes"
"A6","9C42",58293471.8873674,"Yes"
"A7","NTC",-31478103.6329991,"No"
"A8","Rs-S5-1",-32543660.8048141,"No"
"A9","Rs-st1",585942867.057087,"Yes"
"B1","AI3.8",-34280994.9249265,"No"
"B2","AI5.6",-30833461.3152182,"No"
"B3","AI7.14",-33934161.206057,"No"
"B4","AI10.19",-34161757.9877078,"No"
"B5","6LX",131794654.747536,"Yes"
"B6","9C42",35600275.9443656,"Yes"
"B7","NTC",-39370796.6153563,"No"
"B8","Rs-S5-1",-41233919.6035166,"No"
"B9","Rs-st1",398693741.05482,"Yes"
"C1","AI3.8",-28410013.7670126,"No"
"C2","AI5.6",-25675594.3328175,"No"
"C3","AI8.5",-29840957.9292474,"No"
"C4","AI10.19",-33048533.7080942,"No"
"C5","6LX",102527647.997854,"Yes"
"C6","10CX",-33409199.6314781,"No"
"C7","NTC",-47243293.690837,"No"
"C8","Rs-S5-1",-35597989.4492247,"No"
"C9","Rs-st1",617736210.343028,"Yes"
"D1","AI3.25",-28677976.8717374,"No"
"D2","AI5.6",-22260735.4254976,"No"
"D3","AI8.5",-36288641.4982131,"No"
"D4","5LX",791857155.600959,"Yes"
"D5","6LX",-31967194.4023919,"No"
"D6","10CX",-26114409.8221211,"No"
"D8","Rs-S5-2",-18103854.0004168,"No"
"D9","Rs-st2",504565360.734933,"Yes"
"E1","AI3.25",-30711742.253463,"No"
"E2","AI6.16",-27186410.9025148,"No"
"E3","AI8.5",-35321537.5767766,"No"
"E4","5LX",574961810.49079,"Yes"
"E5","7LX",537707475.106363,"Yes"
"E6","10CX",660715881.36761,"Yes"
"E8","Rs-S5-2",-26434514.3763535,"No"
"E9","Rs-st2",277011726.122869,"Yes"
"F1","AI3.25",-29531887.9224727,"No"
"F2","AI6.16",-21240653.4467737,"No"
"F3","AI9.15",-27192161.1470063,"No"
"F4","5LX",151270786.230815,"Yes"
"F5","7LX",-36521276.6374869,"No"
"F6","10LX",-21255500.1569561,"No"
"F8","Rs-S5-2",-38694185.1371424,"No"
"F9","Rs-st2",523430055.443063,"Yes"
"G1","AI4.12",-26071442.5741399,"No"
"G2","AI6.16",-34414588.0911697,"No"
"G3","AI9.15",-33274932.2856201,"No"
"G4","5P.",393162223.69379,"Yes"
"G5","7LX",21629922.1498277,"Yes"
"G6","10LX",528226590.893668,"Yes"
"H1","AI4.12",-21272698.0369169,"No"
"H2","AI7.14",-34813857.6106182,"No"
"H3","AI9.15",-30317626.3691558,"No"
"H4","5P.",774217205.592022,"Yes"
"H5","9C42",768814334.650577,"Yes"
"H6","10LX",521593737.164595,"Yes"
