isolate,rep,dilution,Ct,Ct threshold,Baseline,conc,copy
11,1,0,17.89064789,0.5,6,1.16,335476.9246
11,2,0,7.194243431,0.5,6,1.16,335476.9246
11,3,0,11.18973446,0.5,6,1.16,335476.9246
11,1,-1,6.960972786,0.5,6,0.116,33547.69246
11,2,-1,15.35733032,0.5,6,0.116,33547.69246
11,3,-1,12.59898758,0.5,6,0.116,33547.69246
11,1,-2,13.73017788,0.5,6,0.0116,3354.769246
11,2,-2,13.43531513,0.5,6,0.0116,3354.769246
11,3,-2,20.49173737,0.5,6,0.0116,3354.769246
11,1,-3,14.80334949,0.5,6,0.00116,335.4769246
11,2,-3,18.08227158,0.5,6,0.00116,335.4769246
11,3,-3,24.85553932,0.5,6,0.00116,335.4769246
11,1,-4,31.20510864,0.5,6,0.000116,33.54769246
11,2,-4,41.69937897,0.5,6,0.000116,33.54769246
11,3,-4,36.31653595,0.5,6,0.000116,33.54769246
11,1,-5,210.7103424,0.5,6,0.0000116,3.354769246
11,2,-5,Undetermined,0.5,6,0.0000116,3.354769246
11,3,-5,Undetermined,0.5,6,0.0000116,3.354769246
11,1,-6,Undetermined,0.5,6,0.00000116,0.335476925
11,2,-6,Undetermined,0.5,6,0.00000116,0.335476925
11,3,-6,Undetermined,0.5,6,0.00000116,0.335476925
11,1,-7,Undetermined,0.5,6,0.000000116,0.033547692
11,2,-7,Undetermined,0.5,6,0.000000116,0.033547692
11,3,-7,Undetermined,0.5,6,0.000000116,0.033547692
13,1,0,14.86098576,0.5,6,1.28,370181.434
13,2,0,11.49624443,0.5,6,1.28,370181.434
13,3,0,12.56271935,0.5,6,1.28,370181.434
13,1,-1,15.89970398,0.5,6,0.128,37018.1434
13,2,-1,12.93226814,0.5,6,0.128,37018.1434
13,3,-1,12.59479141,0.5,6,0.128,37018.1434
13,1,-2,20.15994835,0.5,6,0.0128,3701.81434
13,2,-2,28.26355934,0.5,6,0.0128,3701.81434
13,3,-2,16.91971779,0.5,6,0.0128,3701.81434
13,1,-3,77.86473083,0.5,6,0.00128,370.181434
13,2,-3,37.51928711,0.5,6,0.00128,370.181434
13,3,-3,17.21386337,0.5,6,0.00128,370.181434
13,1,-4,55.46071625,0.5,6,0.000128,37.0181434
13,2,-4,Undetermined,0.5,6,0.000128,37.0181434
13,3,-4,35.81518936,0.5,6,0.000128,37.0181434
13,1,-5,228.1858826,0.5,6,0.0000128,3.70181434
13,2,-5,Undetermined,0.5,6,0.0000128,3.70181434
13,3,-5,Undetermined,0.5,6,0.0000128,3.70181434
13,1,-6,Undetermined,0.5,6,0.00000128,0.370181434
13,2,-6,Undetermined,0.5,6,0.00000128,0.370181434
13,3,-6,Undetermined,0.5,6,0.00000128,0.370181434
13,1,-7,Undetermined,0.5,6,0.000000128,0.037018143
13,2,-7,Undetermined,0.5,6,0.000000128,0.037018143
13,3,-7,Undetermined,0.5,6,0.000000128,0.037018143
17,1,0,42.99597931,0.5,6,1.27,367289.3915
17,2,0,38.68014145,0.5,6,1.27,367289.3915
17,3,0,45.79073334,0.5,6,1.27,367289.3915
17,1,-1,32.25991821,0.5,6,0.127,36728.93915
17,2,-1,23.70921135,0.5,6,0.127,36728.93915
17,3,-1,Undetermined,0.5,6,0.127,36728.93915
17,1,-2,39.89458084,0.5,6,0.0127,3672.893915
17,2,-2,25.53862,0.5,6,0.0127,3672.893915
17,3,-2,72.64800262,0.5,6,0.0127,3672.893915
17,1,-3,85.81128693,0.5,6,0.00127,367.2893915
17,2,-3,Undetermined,0.5,6,0.00127,367.2893915
17,3,-3,Undetermined,0.5,6,0.00127,367.2893915
17,1,-4,Undetermined,0.5,6,0.000127,36.72893915
17,2,-4,Undetermined,0.5,6,0.000127,36.72893915
17,3,-4,Undetermined,0.5,6,0.000127,36.72893915
17,1,-5,Undetermined,0.5,6,0.0000127,3.672893915
17,2,-5,62.08061218,0.5,6,0.0000127,3.672893915
17,3,-5,Undetermined,0.5,6,0.0000127,3.672893915
17,1,-6,Undetermined,0.5,6,0.00000127,0.367289392
17,2,-6,81.12239075,0.5,6,0.00000127,0.367289392
17,3,-6,Undetermined,0.5,6,0.00000127,0.367289392
17,1,-7,Undetermined,0.5,6,0.000000127,0.036728939
17,2,-7,Undetermined,0.5,6,0.000000127,0.036728939
17,3,-7,Undetermined,0.5,6,0.000000127,0.036728939
NTC,1,NA,Undetermined,0.5,6,0,0
NTC,2,NA,Undetermined,0.5,6,0,0
NTC,3,NA,Undetermined,0.5,6,0,0
